,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
980,0021500167,1610612754,Pacers,IND,Indiana,240,0.522,0.217,0.183,0.308,0.493,0.211,0.29,0.179
981,0021500167,1610612755,76ers,PHI,Philadelphia,240,0.493,0.211,0.29,0.179,0.522,0.217,0.183,0.308
982,0021500168,1610612738,Celtics,BOS,Boston,240,0.457,0.261,0.137,0.304,0.563,0.486,0.175,0.194
983,0021500168,1610612742,Mavericks,DAL,Dallas,240,0.563,0.486,0.175,0.194,0.457,0.261,0.137,0.304
984,0021500169,1610612737,Hawks,ATL,Atlanta,240,0.478,0.27,0.121,0.235,0.471,0.209,0.206,0.283
985,0021500169,1610612758,Kings,SAC,Sacramento,240,0.471,0.209,0.206,0.283,0.478,0.27,0.121,0.235
986,0021500170,1610612745,Rockets,HOU,Houston,265,0.424,0.38,0.16,0.255,0.449,0.33,0.173,0.208
987,0021500170,1610612757,Trail Blazers,POR,Portland,265,0.449,0.33,0.173,0.208,0.424,0.38,0.16,0.255
988,0021500171,1610612740,Pelicans,NOP,New Orleans,240,0.495,0.095,0.11,0.227,0.488,0.471,0.139,0.348
989,0021500171,1610612760,Thunder,OKC,Oklahoma City,240,0.488,0.471,0.139,0.348,0.495,0.095,0.11,0.227
990,0021500172,1610612743,Nuggets,DEN,Denver,240,0.413,0.184,0.063,0.298,0.541,0.233,0.105,0.233
991,0021500172,1610612759,Spurs,SAS,San Antonio,240,0.541,0.233,0.105,0.233,0.413,0.184,0.063,0.298
992,0021500173,1610612761,Raptors,TOR,Toronto,240,0.456,0.225,0.151,0.209,0.535,0.306,0.194,0.2
993,0021500173,1610612762,Jazz,UTA,Utah,240,0.535,0.306,0.194,0.2,0.456,0.225,0.151,0.209
994,0021500174,1610612741,Bulls,CHI,Chicago,240,0.548,0.169,0.204,0.275,0.451,0.231,0.122,0.28
995,0021500174,1610612756,Suns,PHX,Phoenix,240,0.451,0.231,0.122,0.28,0.548,0.169,0.204,0.275
996,0021500175,1610612748,Heat,MIA,Miami,240,0.511,0.371,0.071,0.267,0.583,0.238,0.177,0.237
997,0021500175,1610612758,Kings,SAC,Sacramento,240,0.583,0.238,0.177,0.237,0.511,0.371,0.071,0.267
998,0021500176,1610612739,Cavaliers,CLE,Cleveland,240,0.641,0.423,0.193,0.448,0.541,0.356,0.123,0.167
999,0021500176,1610612749,Bucks,MIL,Milwaukee,240,0.541,0.356,0.123,0.167,0.641,0.423,0.193,0.448
1000,0021500177,1610612744,Warriors,GSW,Golden State,240,0.637,0.493,0.19,0.235,0.574,0.273,0.109,0.2
1001,0021500177,1610612746,Clippers,LAC,Los Angeles,240,0.574,0.273,0.109,0.2,0.637,0.493,0.19,0.235
1002,0021500178,1610612755,76ers,PHI,Philadelphia,240,0.456,0.278,0.184,0.2,0.568,0.272,0.114,0.132
1003,0021500178,1610612766,Hornets,CHA,Charlotte,240,0.568,0.272,0.114,0.132,0.456,0.278,0.184,0.2
1004,0021500179,1610612738,Celtics,BOS,Boston,240,0.644,0.115,0.159,0.189,0.438,0.27,0.189,0.292
1005,0021500179,1610612751,Nets,BKN,Brooklyn,240,0.438,0.27,0.189,0.292,0.644,0.115,0.159,0.189
1006,0021500180,1610612745,Rockets,HOU,Houston,240,0.419,0.5,0.221,0.188,0.471,0.224,0.123,0.167
1007,0021500180,1610612763,Grizzlies,MEM,Memphis,240,0.471,0.224,0.123,0.167,0.419,0.5,0.221,0.188
1008,0021500181,1610612750,Timberwolves,MIN,Minnesota,240,0.448,0.325,0.172,0.14,0.494,0.149,0.142,0.19
1009,0021500181,1610612765,Pistons,DET,Detroit,240,0.494,0.149,0.142,0.19,0.448,0.325,0.172,0.14
1010,0021500182,1610612740,Pelicans,NOP,New Orleans,240,0.5,0.193,0.102,0.156,0.458,0.19,0.085,0.098
1011,0021500182,1610612759,Spurs,SAS,San Antonio,240,0.458,0.19,0.085,0.098,0.5,0.193,0.102,0.156
1012,0021500183,1610612752,Knicks,NYK,New York,240,0.542,0.319,0.208,0.176,0.397,0.25,0.156,0.412
1013,0021500183,1610612760,Thunder,OKC,Oklahoma City,240,0.397,0.25,0.156,0.412,0.542,0.319,0.208,0.176
1014,0021500184,1610612742,Mavericks,DAL,Dallas,240,0.518,0.205,0.098,0.211,0.475,0.263,0.193,0.409
1015,0021500184,1610612762,Jazz,UTA,Utah,240,0.475,0.263,0.193,0.409,0.518,0.205,0.098,0.211
1016,0021500185,1610612743,Nuggets,DEN,Denver,240,0.483,0.289,0.121,0.304,0.601,0.316,0.2,0.294
1017,0021500185,1610612756,Suns,PHX,Phoenix,240,0.601,0.316,0.2,0.294,0.483,0.289,0.121,0.304
1018,0021500186,1610612746,Clippers,LAC,Los Angeles,240,0.483,0.186,0.135,0.208,0.467,0.267,0.144,0.347
1019,0021500186,1610612757,Trail Blazers,POR,Portland,240,0.467,0.267,0.144,0.347,0.483,0.186,0.135,0.208
1020,0021500187,1610612741,Bulls,CHI,Chicago,240,0.438,0.261,0.126,0.283,0.557,0.304,0.169,0.282
1021,0021500187,1610612744,Warriors,GSW,Golden State,240,0.557,0.304,0.169,0.282,0.438,0.261,0.126,0.283
1022,0021500188,1610612747,Lakers,LAL,Los Angeles,240,0.506,0.221,0.166,0.237,0.532,0.308,0.145,0.273
1023,0021500188,1610612761,Raptors,TOR,Toronto,240,0.532,0.308,0.145,0.273,0.506,0.221,0.166,0.237
1024,0021500189,1610612753,Magic,ORL,Orlando,240,0.462,0.087,0.174,0.288,0.426,0.383,0.159,0.222
1025,0021500189,1610612758,Kings,SAC,Sacramento,240,0.426,0.383,0.159,0.222,0.462,0.087,0.174,0.288
1026,0021500190,1610612749,Bucks,MIL,Milwaukee,240,0.462,0.241,0.236,0.295,0.599,0.253,0.134,0.268
1027,0021500190,1610612754,Pacers,IND,Indiana,240,0.599,0.253,0.134,0.268,0.462,0.241,0.236,0.295
1028,0021500191,1610612737,Hawks,ATL,Atlanta,240,0.436,0.291,0.124,0.231,0.547,0.224,0.145,0.297
1029,0021500191,1610612739,Cavaliers,CLE,Cleveland,240,0.547,0.224,0.145,0.297,0.436,0.291,0.124,0.231
1030,0021500192,1610612764,Wizards,WAS,Washington,240,0.532,0.256,0.143,0.231,0.506,0.266,0.139,0.195
1031,0021500192,1610612765,Pistons,DET,Detroit,240,0.506,0.266,0.139,0.195,0.532,0.256,0.143,0.231
1032,0021500193,1610612748,Heat,MIA,Miami,240,0.471,0.652,0.167,0.214,0.439,0.293,0.171,0.217
1033,0021500193,1610612755,76ers,PHI,Philadelphia,240,0.439,0.293,0.171,0.217,0.471,0.652,0.167,0.214
1034,0021500194,1610612745,Rockets,HOU,Houston,240,0.506,0.346,0.134,0.381,0.5,0.425,0.146,0.422
1035,0021500194,1610612752,Knicks,NYK,New York,240,0.5,0.425,0.146,0.422,0.506,0.346,0.134,0.381
