,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1718,0021500540,1610612761,Raptors,TOR,Toronto,240,0.813,0.187,0.598,0.227,0.155,0.021,0.247,0.165,0.371,0.31,0.69,0.4,0.6,0.324,0.676
1719,0021500540,1610612764,Wizards,WAS,Washington,240,0.702,0.298,0.568,0.114,0.273,0.182,0.159,0.193,0.455,0.44,0.56,0.875,0.125,0.545,0.455
1720,0021500541,1610612751,Nets,BKN,Brooklyn,240,0.699,0.301,0.571,0.078,0.273,0.052,0.156,0.234,0.494,0.5,0.5,0.857,0.143,0.586,0.414
1721,0021500541,1610612753,Magic,ORL,Orlando,240,0.675,0.325,0.482,0.072,0.47,0.108,0.048,0.205,0.41,0.6,0.4,1.0,0.0,0.758,0.242
1722,0021500542,1610612743,Nuggets,DEN,Denver,240,0.782,0.218,0.667,0.214,0.143,0.107,0.19,0.083,0.452,0.571,0.429,0.75,0.25,0.594,0.406
1723,0021500542,1610612763,Grizzlies,MEM,Memphis,240,0.78,0.22,0.484,0.154,0.264,0.143,0.253,0.176,0.33,0.364,0.636,0.75,0.25,0.467,0.533
1724,0021500543,1610612739,Cavaliers,CLE,Cleveland,240,0.667,0.333,0.48,0.16,0.312,0.176,0.208,0.192,0.32,0.4,0.6,0.846,0.154,0.535,0.465
1725,0021500543,1610612750,Timberwolves,MIN,Minnesota,240,0.797,0.203,0.586,0.283,0.212,0.051,0.202,0.162,0.303,0.655,0.345,0.714,0.286,0.667,0.333
1726,0021500544,1610612740,Pelicans,NOP,New Orleans,240,0.651,0.349,0.512,0.14,0.314,0.081,0.174,0.116,0.372,0.591,0.409,0.889,0.111,0.677,0.323
1727,0021500544,1610612754,Pacers,IND,Indiana,240,0.741,0.259,0.681,0.132,0.165,0.099,0.154,0.198,0.549,0.548,0.452,0.8,0.2,0.583,0.417
1728,0021500545,1610612742,Mavericks,DAL,Dallas,240,0.476,0.524,0.442,0.105,0.442,0.116,0.116,0.095,0.337,0.714,0.286,0.857,0.143,0.771,0.229
1729,0021500545,1610612749,Bucks,MIL,Milwaukee,240,0.888,0.113,0.688,0.104,0.125,0.188,0.188,0.208,0.583,0.606,0.394,1.0,0.0,0.649,0.351
1730,0021500546,1610612752,Knicks,NYK,New York,240,0.769,0.231,0.586,0.202,0.273,0.152,0.141,0.03,0.384,0.414,0.586,0.778,0.222,0.5,0.5
1731,0021500546,1610612759,Spurs,SAS,San Antonio,240,0.86,0.14,0.74,0.14,0.12,0.09,0.14,0.1,0.6,0.514,0.486,1.0,0.0,0.561,0.439
1732,0021500547,1610612748,Heat,MIA,Miami,240,0.753,0.247,0.563,0.136,0.204,0.262,0.233,0.223,0.427,0.552,0.448,1.0,0.0,0.639,0.361
1733,0021500547,1610612756,Suns,PHX,Phoenix,240,0.739,0.261,0.716,0.168,0.189,0.263,0.095,0.158,0.547,0.294,0.706,0.833,0.167,0.375,0.625
1734,0021500548,1610612744,Warriors,GSW,Golden State,240,0.632,0.368,0.438,0.172,0.422,0.094,0.141,0.102,0.266,0.714,0.286,0.889,0.111,0.783,0.217
1735,0021500548,1610612757,Trail Blazers,POR,Portland,240,0.656,0.344,0.481,0.148,0.333,0.102,0.185,0.12,0.333,0.5,0.5,0.667,0.333,0.553,0.447
1736,0021500549,1610612747,Lakers,LAL,Los Angeles,240,0.69,0.31,0.549,0.159,0.239,0.195,0.212,0.159,0.389,0.452,0.548,0.556,0.444,0.475,0.525
1737,0021500549,1610612760,Thunder,OKC,Oklahoma City,240,0.809,0.191,0.684,0.188,0.128,0.154,0.188,0.145,0.496,0.35,0.65,0.6,0.4,0.378,0.622
